home_team_name,away_team_name,match_descr,score
South Africa,Mexico,Round 1,1-1
Uruguay,France,Round 1,0-0
Korea Republic,Greece,Round 1,2-0
Argentina,Nigeria,Round 1,1-0
England,United States,Round 1,1-1
Algeria,Slovenia,Round 1,0-1
Serbia,Ghana,Round 1,0-1
Germany,Australia,Round 1,4-0
Netherlands,Denmark,Round 1,2-0
Japan,Cameroon,Round 1,1-0
Italy,Paraguay,Round 1,1-1
New Zealand,Slovakia,Round 1,1-1
Côte d'Ivoire,Portugal,Round 1,0-0
Brazil,Korea DPR,Round 1,2-1
Honduras,Chile,Round 1,0-1
Spain,Switzerland,Round 1,0-1
South Africa,Uruguay,Round 2,0-3
Argentina,Korea Republic,Round 2,4-1
Greece,Nigeria,Round 2,2-1
France,Mexico,Round 2,0-2
Germany,Serbia,Round 2,0-1
Slovenia,United States,Round 2,2-2
England,Algeria,Round 2,0-0
Netherlands,Japan,Round 2,1-0
Ghana,Australia,Round 2,1-1
Cameroon,Denmark,Round 2,1-2
Slovakia,Paraguay,Round 2,0-2
Italy,New Zealand,Round 2,1-1
Brazil,Côte d'Ivoire,Round 2,3-1
Portugal,Korea DPR,Round 2,7-0
Chile,Switzerland,Round 2,1-0
Spain,Honduras,Round 2,2-0
France,South Africa,Round 3,1-2
Mexico,Uruguay,Round 3,0-1
Greece,Argentina,Round 3,0-2
Nigeria,Korea Republic,Round 3,2-2
Slovenia,England,Round 3,0-1
United States,Algeria,Round 3,1-0
Australia,Serbia,Round 3,2-1
Ghana,Germany,Round 3,0-1
Paraguay,New Zealand,Round 3,0-0
Slovakia,Italy,Round 3,3-2
Cameroon,Netherlands,Round 3,1-2
Denmark,Japan,Round 3,1-3
