id,pos,predictable_championship_group_id,predictable_championship_team_id,created_at,updated_at
49,1,13,49,,
50,2,13,50,,
51,3,13,51,,
52,4,13,52,,
53,1,14,53,,
54,2,14,54,,
55,3,14,55,,
56,4,14,56,,
57,1,15,57,,
58,2,15,58,,
59,3,15,59,,
60,4,15,60,,
61,1,16,61,,
62,2,16,62,,
63,3,16,63,,
64,4,16,64,,
65,1,17,65,,
66,2,17,66,,
67,3,17,67,,
68,4,17,68,,
69,1,18,69,,
70,2,18,70,,
71,3,18,71,,
72,4,18,72,,
73,1,19,73,,
74,2,19,74,,
75,3,19,75,,
76,4,19,76,,
77,1,20,77,,
78,2,20,78,,
79,3,20,79,,
80,4,20,80,,
