id,description,score,result,play_date,home_team_id,away_team_id,predictable_championship_stage_id,display_order,created_at,updated_at
160,Round 1,,,2016-06-10 21:00:00 UTC +01:00,81,82,17,1,,
161,Round 1,,,2016-06-11 15:00:00 UTC +01:00,83,84,17,2,,
162,Round 2,,,2016-06-15 18:00:00 UTC +01:00,82,84,17,3,,
163,Round 2,,,2016-06-15 21:00:00 UTC +01:00,81,83,17,4,,
164,Round 3,,,2016-06-19 21:00:00 UTC +01:00,84,81,17,5,,
165,Round 3,,,2016-06-19 21:00:00 UTC +01:00,82,83,17,6,,
166,Round 1,,,2016-06-11 18:00:00 UTC +01:00,87,88,17,1,,
167,Round 1,,,2016-06-11 21:00:00 UTC +01:00,85,86,17,2,,
168,Round 2,,,2016-06-15 15:00:00 UTC +01:00,86,88,17,3,,
169,Round 2,,,2016-06-16 15:00:00 UTC +01:00,85,87,17,4,,
170,Round 3,,,2016-06-20 21:00:00 UTC +01:00,88,85,17,5,,
171,Round 3,,,2016-06-20 21:00:00 UTC +01:00,86,87,17,6,,
172,Round 1,,,2016-06-12 18:00:00 UTC +01:00,91,92,17,1,,
173,Round 1,,,2016-06-12 21:00:00 UTC +01:00,89,90,17,2,,
174,Round 2,,,2016-06-16 18:00:00 UTC +01:00,90,92,17,3,,
175,Round 2,,,2016-06-16 21:00:00 UTC +01:00,89,91,17,4,,
176,Round 3,,,2016-06-21 18:00:00 UTC +01:00,92,89,17,5,,
177,Round 3,,,2016-06-21 18:00:00 UTC +01:00,90,91,17,6,,
178,Round 1,,,2016-06-12 15:00:00 UTC +01:00,95,96,17,1,,
179,Round 1,,,2016-06-13 15:00:00 UTC +01:00,93,94,17,2,,
180,Round 2,,,2016-06-17 18:00:00 UTC +01:00,94,96,17,3,,
181,Round 2,,,2016-06-17 21:00:00 UTC +01:00,93,95,17,4,,
182,Round 3,,,2016-06-21 21:00:00 UTC +01:00,96,93,17,5,,
183,Round 3,,,2016-06-21 21:00:00 UTC +01:00,94,95,17,6,,
184,Round 1,,,2016-06-13 18:00:00 UTC +01:00,99,100,17,1,,
185,Round 1,,,2016-06-13 21:00:00 UTC +01:00,97,98,17,2,,
186,Round 2,,,2016-06-17 15:00:00 UTC +01:00,98,100,17,3,,
187,Round 2,,,2016-06-18 15:00:00 UTC +01:00,97,99,17,4,,
188,Round 3,,,2016-06-22 21:00:00 UTC +01:00,100,97,17,5,,
189,Round 3,,,2016-06-22 21:00:00 UTC +01:00,98,99,17,6,,
190,Round 1,,,2016-06-14 18:00:00 UTC +01:00,103,104,17,1,,
191,Round 1,,,2016-06-14 21:00:00 UTC +01:00,101,102,17,2,,
192,Round 2,,,2016-06-18 18:00:00 UTC +01:00,102,104,17,3,,
193,Round 2,,,2016-06-18 21:00:00 UTC +01:00,101,103,17,4,,
194,Round 3,,,2016-06-22 18:00:00 UTC +01:00,102,103,17,5,,
195,Round 3,,,2016-06-22 18:00:00 UTC +01:00,104,101,17,6,,
196,RA - RC,,,2016-06-25 15:00:00 UTC +01:00,,,18,1,,
197,WB - 3ACD,,,2016-06-25 18:00:00 UTC +01:00,,,18,3,,
198,WD - 3BEF,,,2016-06-25 21:00:00 UTC +01:00,,,18,2,,
199,WA - 3CDE,,,2016-06-26 15:00:00 UTC +01:00,,,18,7,,
200,WC - 3ABF,,,2016-06-26 18:00:00 UTC +01:00,,,18,5,,
201,WF - RE,,,2016-06-26 21:00:00 UTC +01:00,,,18,4,,
202,WE - RD,,,2016-06-27 18:00:00 UTC +01:00,,,18,6,,
203,RB - RF,,,2016-06-27 21:00:00 UTC +01:00,,,18,8,,
204,QF 1,,,2016-06-30 21:00:00 UTC +01:00,,,19,1,,
205,QF 2,,,2016-07-01 21:00:00 UTC +01:00,,,19,2,,
206,QF 3,,,2016-07-02 21:00:00 UTC +01:00,,,19,3,,
207,QF 4,,,2016-07-03 21:00:00 UTC +01:00,,,19,4,,
208,SF 1,,,2016-07-06 21:00:00 UTC +01:00,,,20,1,,
209,SF 2,,,2016-07-07 21:00:00 UTC +01:00,,,20,2,,
210,Final,,,2016-07-10 21:00:00 UTC +01:00,,,21,1,,



