id,country_flag,name,code,tournament_id,ranking_coefficient,created_at,updated_at
81,fr,France,A1,4,33599,,
82,ro,Romania,A2,4,28038,,
83,ab,Albania,A3,4,23216,,
84,sw,Switzerland,A4,4,31254,,
85,en,England,B1,4,35963,,
86,ru,Russia,B2,4,31345,,
87,wa,Wales,B3,4,24521,,
88,sk,Slovakia,B4,4,27171,,
89,ge,Germany,C1,4,40236,,
90,uk,Ukraine,C2,4,30313,,
91,pl,Poland,C3,4,28306,,
92,nr,Northern Ireland,C4,4,22961,,
93,sp,Spain,D1,4,37962,,
94,cz,Czech Republic,D2,4,29403,,
95,tu,Turkey,D3,4,27033,,
96,cr,Croatia,D4,4,30642,,
97,be,Belgium,E1,4,34442,,
98,it,Italy,E2,4,34345,,
99,ir,Republic of Ireland,E3,4,26902,,
100,sv,Sweden,E4,4,29028,,
101,po,Portugal,F1,4,35138,,
102,ic,Iceland,F2,4,25388,,
103,as,Austria,F3,4,30932,,
104,hu,Hungary,F4,4,27142,,
